fips,county,state,total_population,median_household_income,poverty_count,edu_pct,hud_pop2020,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
21185,Oldham,KY,67997,117334.0,2561,0.3008809212171125,66508,976.0,1077.0,1301.0,1701.0,1955.0
21187,Owen,KY,11229,56485.0,1571,0.13269213643245167,10847,649.0,681.0,895.0,1135.0,1217.0
21189,Owsley,KY,4054,32844.0,1114,0.08263443512580168,4416,616.0,663.0,850.0,1151.0,1156.0
21191,Pendleton,KY,14638,58723.0,2550,0.11354010110670856,14587,810.0,919.0,1195.0,1588.0,1766.0
21193,Perry,KY,28136,45330.0,6521,0.09208842763719079,26266,676.0,710.0,933.0,1128.0,1245.0
21195,Pike,KY,58196,41271.0,13607,0.11316928998556602,58595,660.0,784.0,911.0,1102.0,1324.0
21197,Powell,KY,13089,38415.0,2680,0.10260524104209642,12283,625.0,656.0,862.0,1201.0,1215.0
21199,Pulaski,KY,65145,48768.0,13636,0.12558139534883722,64789,618.0,699.0,912.0,1107.0,1351.0
21201,Robertson,KY,2207,53798.0,450,0.08427729950158587,2139,616.0,647.0,850.0,1028.0,1156.0
21203,Rockcastle,KY,16171,45693.0,3693,0.08558530703110506,16795,616.0,647.0,850.0,1130.0,1156.0
21205,Rowan,KY,24551,50038.0,5366,0.15722373834059714,24534,588.0,704.0,867.0,1104.0,1471.0
21207,Russell,KY,18021,48220.0,3803,0.11331224682315078,17846,616.0,647.0,850.0,1043.0,1132.0
21209,Scott,KY,57286,80782.0,5173,0.21027825297629438,55961,802.0,983.0,1177.0,1599.0,1807.0
21211,Shelby,KY,48105,81012.0,3706,0.21056023282403077,48100,862.0,965.0,1130.0,1458.0,1589.0
21213,Simpson,KY,19574,55907.0,2694,0.09839583120465924,18319,725.0,761.0,1000.0,1336.0,1359.0
21215,Spencer,KY,19549,101118.0,1607,0.15279553941378077,18945,976.0,1077.0,1301.0,1701.0,1955.0
21217,Taylor,KY,26056,63211.0,3551,0.15025330058335892,25572,616.0,744.0,850.0,1142.0,1147.0
21219,Todd,KY,12281,57891.0,2548,0.10691311782428141,12334,616.0,647.0,850.0,1165.0,1331.0
21221,Trigg,KY,14154,55864.0,2556,0.14589515331355093,14569,887.0,970.0,1246.0,1750.0,2114.0
21223,Trimble,KY,8510,66492.0,1147,0.09659224441833138,8528,625.0,656.0,862.0,1144.0,1148.0
21225,Union,KY,13495,58260.0,2487,0.07091515376065209,14582,629.0,694.0,868.0,1050.0,1156.0
21227,Warren,KY,135307,63074.0,22132,0.20161558529861723,130836,831.0,944.0,1104.0,1354.0,1640.0
21229,Washington,KY,12025,65456.0,1657,0.13812889812889814,12044,657.0,690.0,907.0,1097.0,1295.0
21231,Wayne,KY,19666,41583.0,4898,0.0986474117766704,20447,616.0,699.0,850.0,1198.0,1442.0
21233,Webster,KY,12951,55451.0,2022,0.0778318276580959,13021,628.0,659.0,866.0,1047.0,1177.0
21235,Whitley,KY,36648,44332.0,8189,0.11834206505129884,36252,616.0,647.0,850.0,1028.0,1132.0
21237,Wolfe,KY,6573,28666.0,2362,0.048075460216035294,7188,616.0,757.0,850.0,1028.0,1156.0
21239,Woodford,KY,26886,78295.0,2228,0.28234025143197206,26486,802.0,983.0,1177.0,1599.0,1807.0
22001,Acadia,LA,57674,44977.0,13459,0.09045670492769706,62371,557.0,626.0,822.0,1006.0,1128.0
22003,Allen,LA,22798,52755.0,3711,0.08382314238091061,25572,615.0,679.0,822.0,1043.0,1231.0
22005,Ascension,LA,126973,93800.0,12453,0.1904735652461547,125061,1107.0,1124.0,1277.0,1598.0,2125.0
22007,Assumption,LA,21067,47023.0,3354,0.09431812787772345,22236,863.0,886.0,995.0,1402.0,1654.0
22009,Avoyelles,LA,39529,38696.0,10160,0.08353360823699056,40465,641.0,651.0,856.0,1095.0,1241.0
22011,Beauregard,LA,36553,68525.0,4765,0.11878641971931168,37387,727.0,741.0,865.0,1126.0,1468.0
22013,Bienville,LA,12958,34268.0,3928,0.08712764315480784,13391,615.0,727.0,822.0,1158.0,1395.0
22015,Bossier,LA,128877,64598.0,21074,0.184253202666108,126952,779.0,927.0,1073.0,1358.0,1486.0
22017,Caddo,LA,236259,47572.0,50825,0.16536936159045793,243243,779.0,927.0,1073.0,1358.0,1486.0
22019,Calcasieu,LA,210770,64370.0,35580,0.1563457797599279,202858,835.0,840.0,1080.0,1333.0,1438.0
22021,Caldwell,LA,9658,45707.0,2327,0.08583557672395942,9959,710.0,722.0,949.0,1147.0,1376.0
22023,Cameron,LA,5447,69847.0,669,0.1042775839911878,6963,835.0,840.0,1080.0,1333.0,1438.0
22025,Catahoula,LA,8895,48259.0,1873,0.12422709387296234,9586,615.0,722.0,822.0,1158.0,1192.0
22027,Claiborne,LA,14203,32034.0,4005,0.08498204604660987,15854,615.0,626.0,822.0,994.0,1192.0
22029,Concordia,LA,18677,38929.0,5864,0.11656047545108958,19533,615.0,626.0,822.0,1158.0,1192.0
22031,De Soto,LA,26821,49807.0,5381,0.11218821073039782,27395,779.0,927.0,1073.0,1358.0,1486.0
22033,East Baton Rouge,LA,454369,62083.0,78833,0.23921306251086671,443158,1107.0,1124.0,1277.0,1598.0,2125.0
22035,East Carroll,LA,7371,30856.0,2216,0.07733007733007732,6947,615.0,626.0,822.0,1095.0,1191.0
22037,East Feliciana,LA,19452,64709.0,2441,0.121529919802591,19228,1107.0,1124.0,1277.0,1598.0,2125.0
22039,Evangeline,LA,32335,34526.0,8576,0.07926395546621308,33491,615.0,669.0,822.0,1053.0,1095.0
22041,Franklin,LA,19752,41129.0,4884,0.10186310247063589,20109,615.0,702.0,822.0,1045.0,1095.0
22043,Grant,LA,22185,57362.0,2855,0.08523777327022763,22339,674.0,757.0,995.0,1343.0,1489.0
